0;0;0;0;land;false;unknown;1
1;236;190;212;land;false;forest;2
2;216;246;168;land;false;plains;6
3;121;236;161;land;false;hills;1
4;201;176;185;land;true;plains;1
5;213;183;155;land;false;plains;5
6;68;251;228;land;false;plains;2
7;91;236;194;land;false;plains;2
8;149;199;191;land;false;forest;2
9;198;243;180;land;false;desert;7
10;252;129;141;land;false;plains;1
11;199;193;245;land;true;marsh;1
12;178;186;187;land;false;desert;7
13;246;77;244;land;true;marsh;2
14;249;181;153;land;true;hills;2
15;250;62;200;land;false;plains;1
16;172;252;194;land;false;plains;1
17;211;185;181;land;false;plains;1
18;155;180;243;land;false;marsh;2
19;85;226;207;land;true;plains;6
20;208;239;107;land;true;plains;1
21;83;246;178;land;false;plains;1
22;223;125;220;land;false;plains;1
23;132;209;231;land;true;plains;1
24;69;246;187;land;true;hills;1
25;248;56;223;land;true;forest;2
26;206;63;239;land;false;forest;1
27;212;125;194;land;false;plains;1
28;138;142;224;land;false;plains;1
29;233;121;180;land;false;plains;1
30;245;226;201;land;false;mountain;3
31;246;90;226;land;false;plains;1
32;183;153;251;land;true;desert;7
33;251;219;173;land;true;plains;1
34;165;201;254;land;true;plains;1
35;225;234;122;land;true;plains;1
36;235;193;198;land;true;hills;1
37;96;245;171;land;true;plains;1
38;186;199;239;land;false;plains;1
39;248;96;197;land;false;mountain;1
40;192;133;227;land;true;plains;1
41;40;230;235;land;false;plains;1
42;204;178;226;land;false;plains;1
43;222;174;109;land;false;plains;1
44;186;247;197;land;false;plains;6
45;104;161;239;land;false;plains;1
46;227;211;119;land;true;marsh;6
47;192;195;137;land;false;hills;4
48;217;107;188;land;false;plains;1
49;216;249;73;land;false;plains;1
50;235;169;175;land;false;plains;1
51;180;233;172;land;true;plains;1
52;196;160;215;land;false;plains;1
53;199;100;202;land;true;desert;7
54;226;123;233;land;false;plains;1
55;190;128;196;land;false;hills;1
56;210;226;108;land;true;plains;2
57;217;241;93;land;false;hills;1
58;125;233;234;land;false;plains;2
59;170;140;229;land;false;plains;2
60;238;211;91;land;true;hills;1
